Property,Description,DataType,Nullable,Unique,Readonly,
id,unique key for user,String,FALSE,TRUE,TRUE,
status,current status of user,"STAGED, PROVISIONED, ACTIVE, RECOVERY, LOCKED_OUT, PASSWORD_EXPIRED, SUSPENDED, or DEPROVISIONED",FALSE,FALSE,TRUE,
created,timestamp when user was created,Date,FALSE,FALSE,TRUE,
activated,timestamp when transition to ACTIVE status completed,Date,FALSE,FALSE,TRUE,
statusChanged,timestamp when status last changed,Date,TRUE,FALSE,TRUE,
lastLogin,timestamp of last login,Date,TRUE,FALSE,TRUE,
lastUpdated,timestamp when user was last updated,Date,FALSE,FALSE,TRUE,
passwordChanged,timestamp when password last changed,Date,TRUE,FALSE,TRUE,
type,user type that determines the schema for the user's profile,Map (see below),FALSE,FALSE,TRUE,
transitioningToStatus,target status of an in-progress asynchronous status transition,"PROVISIONED, ACTIVE, or DEPROVISIONED",TRUE,FALSE,TRUE,
profile,user profile properties,Profile object,FALSE,FALSE,FALSE,
credentials,user's primary authentication and recovery credentials,Credentials object,FALSE,FALSE,FALSE,
_links,link relations for the user's current status,"JSON HAL
(opens new window)",TRUE,FALSE,TRUE,
_embedded,embedded resources related to the user,"JSON HAL
(opens new window)",TRUE,FALSE,TRUE,
