Property,Description,DataType,Nullable,Unique,Readonly,MinLength,MaxLength
login,unique identifier for the user (username),String,FALSE,TRUE,FALSE,5,100
email,primary email address of user,String,FALSE,TRUE,FALSE,5,100
secondEmail,secondary email address of user typically used for account recovery,String,TRUE,TRUE,FALSE,5,100
firstName,given name of the user (givenName),String,FALSE (default),FALSE,FALSE,1,50
lastName,family name of the user (familyName),String,FALSE (default),FALSE,FALSE,1,50
middleName,middle name(s) of the user,String,TRUE,FALSE,FALSE,,
honorificPrefix,"honorific prefix(es) of the user, or title in most Western languages",String,TRUE,FALSE,FALSE,,
honorificSuffix,honorific suffix(es) of the user,String,TRUE,FALSE,FALSE,,
title,"user's title, such as ""Vice President",String,TRUE,FALSE,FALSE,,
displayName,"name of the user, suitable for display to end users",String,TRUE,FALSE,FALSE,,
nickName,casual way to address the user in real life,String,TRUE,FALSE,FALSE,,
profileUrl,url of user's online profile (e.g. a web page),String,TRUE,FALSE,FALSE,,
primaryPhone,primary phone number of user such as home number,String,TRUE,FALSE,FALSE,0,100
mobilePhone,mobile phone number of user,String,TRUE,FALSE,FALSE,0,100
streetAddress,full street address component of user's address,String,TRUE,FALSE,FALSE,,
city,city or locality component of user's address (locality),String,TRUE,FALSE,FALSE,,
state,state or region component of user's address (region),String,TRUE,FALSE,FALSE,,
zipCode,zipcode or postal code component of user's address (postalCode),String,TRUE,FALSE,FALSE,,
countryCode,country name component of user's address (country),String,TRUE,FALSE,FALSE,,
postalAddress,mailing address component of user's address,String,TRUE,FALSE,FALSE,,
preferredLanguage,user's preferred written or spoken languages,String,TRUE,FALSE,FALSE,,
locale,"user's default location for purposes of localizing items such as currency, date time format, numerical representations, etc.",String,TRUE,FALSE,FALSE,,
timezone,user's time zone,String,TRUE,FALSE,FALSE,,
userType,"used to describe the organization to user relationship such as ""Employee"" or ""Contractor""",String,TRUE,FALSE,FALSE,,
employeeNumber,organization or company assigned unique identifier for the user,String,TRUE,FALSE,FALSE,,
costCenter,name of a cost center assigned to user,String,TRUE,FALSE,FALSE,,
organization,name of user's organization,String,TRUE,FALSE,FALSE,,
division,name of user's division,String,TRUE,FALSE,FALSE,,
department,name of user's department,String,TRUE,FALSE,FALSE,,
managerId,id of a user's manager,String,TRUE,FALSE,FALSE,,
manager,displayName of the user's manager,String,TRUE,FALSE,FALSE,,
